d83d8e85-c973-43f1-8010-e8f36dc62725,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,1f550d2e-d956-4855-8f6c-850193633ba2,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,41dd9f25-8df0-46e6-9f29-cceef9210ae8,f8a27cd2-f746-4301-a112-59d13e40d78d,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,821df950-1005-42a1-bb71-94e21d06f843,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,65c47774-d0bf-4ce9-ba77-1b1304459dc7
BA Penitentiary,255,255,255,BA Penitentiary_2021WABuilding Code,BA Penitentiary_2021WABuilding CodeScheduleSet,0.269097876,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA PenitentiaryPeopleDef,NECB-H-Occupancy,BA PenitentiaryActivity,,0.000117987,,COMNET-REV9WholeBuildingBA PenitentiaryVent,16.06884651,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA PenitentiaryElectricalEquipDef,NECB-H-Electric-Equipment,6.9966,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2PenitentiaryLightingDef,NECB-H-Lighting,7.495479452,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA PenitentiaryGasEquipDef,NECB-D-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA PenitentiaryInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Performing Arts Theater,255,255,255,BA Performing Arts Theater_2021WABuilding Code,BA Performing Arts Theater_2021WABuilding CodeScheduleSet,0.768851075,96.71746776,97,120,0.681818182,COMNET-REV9WholeBuildingBA Performing Arts TheaterPeopleDef,NECB-C-Occupancy,BA Performing Arts TheaterActivity,,0.00035868,,COMNET-REV9WholeBuildingBA Performing Arts TheaterVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Performing Arts TheaterElectricalEquipDef,NECB-C-Electric-Equipment,9.04176,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Performing arts theaterLightingDef,NECB-C-Lighting,0.245753425,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Performing Arts TheaterGasEquipDef,NECB-C-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Performing Arts TheaterInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Police Station,255,255,255,BA Police Station_2021WABuilding Code,BA Police Station_2021WABuilding CodeScheduleSet,0.326179244,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Police StationPeopleDef,NECB-H-Occupancy,BA Police StationActivity,,9.91E-05,,COMNET-REV9WholeBuildingBA Police StationVent,16.58041368,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Police StationElectricalEquipDef,NECB-H-Electric-Equipment,7.10424,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Police stationLightingDef,NECB-H-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Police StationGasEquipDef,NECB-H-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Police StationInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Post Office,255,255,255,BA Post Office_2021WABuilding Code,BA Post Office_2021WABuilding CodeScheduleSet,0.326179244,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Post OfficePeopleDef,NECB-A-Occupancy,BA Post OfficeActivity,,9.91E-05,,COMNET-REV9WholeBuildingBA Post OfficeVent,9.785251175,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Post OfficeElectricalEquipDef,NECB-A-Electric-Equipment,6.9966,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Post officeLightingDef,NECB-A-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Post OfficeGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Post OfficeInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Religious Building,255,255,255,BA Religious Building_2021WABuilding Code,BA Religious Building_2021WABuilding CodeScheduleSet,1.345489381,117.2332943,97,120,0.6125,COMNET-REV9WholeBuildingBA Religious BuildingPeopleDef,NECB-I-Occupancy,BA Religious BuildingActivity,,0.000311485,,COMNET-REV9WholeBuildingBA Religious BuildingVent,3.212466637,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Religious BuildingElectricalEquipDef,NECB-I-Electric-Equipment,7.21188,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Religious buildingLightingDef,NECB-I-Lighting,0.245753425,0.03,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Religious BuildingGasEquipDef,NECB-I-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Religious BuildingInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Retail,255,255,255,BA Retail_2021WABuilding Code,BA Retail_2021WABuilding CodeScheduleSet,0.160655449,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA RetailPeopleDef,NECB-C-Occupancy,BA RetailActivity,,0.000108548,,COMNET-REV9WholeBuildingBA RetailVent,7.560087951,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA RetailElectricalEquipDef,NECB-C-Electric-Equipment,9.04176,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2RetailLightingDef,NECB-C-Lighting,0.983013699,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA RetailGasEquipDef,RetailStandalone BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA RetailInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA School/University,255,255,255,BA School/University_2021WABuilding Code,BA School/University_2021WABuilding CodeScheduleSet,0.269097876,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA School/UniversityPeopleDef,NECB-D-Occupancy,BA School/UniversityActivity,,0.000221815,,COMNET-REV9WholeBuildingBA School/UniversityVent,7.400079852,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA School/UniversityElectricalEquipDef,NECB-D-Electric-Equipment,7.5348,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2School/universityLightingDef,NECB-D-Lighting,1.474520548,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA School/UniversityGasEquipDef,SchoolSecondary BLDG_EQUIP_SCH,2.32E-05,PNNL-NECB 2011BA School/UniversityInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Sports Arena,255,255,255,BA Sports Arena_2021WABuilding Code,BA Sports Arena_2021WABuilding CodeScheduleSet,,,,,,,,,,0.000141584,,COMNET-REV9WholeBuildingBA Sports ArenaVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Sports ArenaElectricalEquipDef,NECB-B-Electric-Equipment,6.67368,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Sports arenaLightingDef,NECB-B-Lighting,0.245753425,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Sports ArenaGasEquipDef,NECB-B-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Sports ArenaInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Town Hall,255,255,255,BA Town Hall_2021WABuilding Code,BA Town Hall_2021WABuilding CodeScheduleSet,0.053819575,131.887456,97,120,0.555555556,COMNET-REV9WholeBuildingBA Town HallPeopleDef,NECB-D-Occupancy,BA Town HallActivity,,4.25E-05,,COMNET-REV9WholeBuildingBA Town HallVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA Town HallElectricalEquipDef,NECB-D-Electric-Equipment,7.42716,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Town hallLightingDef,NECB-D-Lighting,1.351643836,0.01,0.4,0.4,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Town HallGasEquipDef,NECB-D-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA Town HallInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Transportation,255,255,255,BA Transportation_2021WABuilding Code,BA Transportation_2021WABuilding CodeScheduleSet,1.076391505,96.71746776,97,120,0.681818182,COMNET-REV9WholeBuildingBA TransportationPeopleDef,NECB-H-Occupancy,BA TransportationActivity,,0.000382277,,COMNET-REV9WholeBuildingBA TransportationVent,5.587835705,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA TransportationElectricalEquipDef,NECB-H-Electric-Equipment,5.382,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2TransportationLightingDef,NECB-H-Lighting,0.245753425,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA TransportationGasEquipDef,NECB-H-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA TransportationInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Warehouse,255,255,255,BA Warehouse_2021WABuilding Code,BA Warehouse_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,COMNET-REV9WholeBuildingBA WarehouseVent,3.254028524,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA WarehouseElectricalEquipDef,NECB-A-Electric-Equipment,4.3056,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2WarehouseLightingDef,NECB-A-Lighting,0,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA WarehouseGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA WarehouseInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Workshop,255,255,255,BA Workshop_2021WABuilding Code,BA Workshop_2021WABuilding CodeScheduleSet,0.075272133,468.933177,97,120,0.396875,COMNET-REV9WholeBuildingBA WorkshopPeopleDef,NECB-A-Occupancy,BA WorkshopActivity,,0.000117987,,COMNET-REV9WholeBuildingBA WorkshopVent,4.610617106,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA WorkshopElectricalEquipDef,NECB-A-Electric-Equipment,9.79524,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2WorkshopLightingDef,NECB-A-Lighting,8.109863014,0,0.75,0.25,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA WorkshopGasEquipDef,NECB-A-Electric-Equipment,2.32E-05,PNNL-NECB 2011BA WorkshopInfil,Always On,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
CS Audience Seating Area - Auditorium,230,196,120,CS Audience Seating Area - Auditorium_2021WABuilding Code,CS Audience Seating Area - Auditorium_2021WABuilding CodeScheduleSet,1.614587258,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsCOMNET-REV9PeopleDef,SchoolSecondary BLDG_OCC_SCH_Auditorium,CS Audience Seating Area - AuditoriumActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - AuditoriumElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,6.56604,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In an auditoriumLightingDef,SchoolSecondary BLDG_LIGHT_SCH,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeSecondarySchool_AuditoriumInfil,SchoolSecondary INFIL_SCH_PNNL,0,1.74,0,MediumSmooth,0.05,0.395,298,1070,0.9,0.7,0.7,TheaterSeat-Standard,CalculatedEstimateTypicalTheaterSeatAndSpacingTheaterSeat-StandardInternalMassDef
CS Audience Seating Area - Convention Center,230,196,120,CS Audience Seating Area - Convention Center_2021WABuilding Code,CS Audience Seating Area - Convention Center_2021WABuilding CodeScheduleSet,1.614587258,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Audience Seating Area - Convention CenterActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Convention CenterElectricalEquipDef,NECB-C-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - OtherwiseLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Convention centre - audienceInfil,Always On,0,1.47,0,MediumSmooth,0.05,0.71,192,990,0.9,0.7,0.7,StackingChair-Standard,CalculatedEstimateStackingBanquetChairsStackingChair-StandardInternalMassDef
CS Audience Seating Area - Exercise Center,230,196,120,CS Audience Seating Area - Exercise Center_2021WABuilding Code,CS Audience Seating Area - Exercise Center_2021WABuilding CodeScheduleSet,1.614587258,527.5498242,97,120,0.394444444,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Audience Seating Area - Exercise CenterActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasVent,7.257591105,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Exercise CenterElectricalEquipDef,NECB-B-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - OtherwiseLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Gym - audienceInfil,Always On,0,0.5,0,MediumSmooth,0.05,185.087,593,780,0.9,0.7,0.7,Bleacher-Metal,CalculatedEstimateAluminumSteelBleachersBleacher-MetalInternalMassDef
CS Audience Seating Area - Gymnasium,230,196,120,CS Audience Seating Area - Gymnasium_2021WABuilding Code,CS Audience Seating Area - Gymnasium_2021WABuilding CodeScheduleSet,1.614587258,527.5498242,97,120,0.394444444,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Audience Seating Area - GymnasiumActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasVent,7.257591105,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - GymnasiumElectricalEquipDef,NECB-B-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a gymnasiumLightingDef,NECB-B-Lighting,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeSecondarySchool_GymInfil,SchoolSecondary INFIL_SCH_PNNL,0,1.33,0,MediumSmooth,0.05,3.403,278,940,0.9,0.7,0.7,Bleacher-Retractable,CalculatedEstimateRetractableWoodPlasticBleachersBleacher-RetractableInternalMassDef
CS Audience Seating Area - Motion Picture Theater,230,196,120,CS Audience Seating Area - Motion Picture Theater_2021WABuilding Code,CS Audience Seating Area - Motion Picture Theater_2021WABuilding CodeScheduleSet,1.614587258,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Audience Seating Area - Motion Picture TheaterActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Motion Picture TheaterElectricalEquipDef,NECB-C-Electric-Equipment,2.90628,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a motion picture theaterLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Audience - motion pictureInfil,Always On,0,1.91,0,MediumSmooth,0.05,0.627,397,960,0.9,0.7,0.7,CinemaSeat-Recliner,CalculatedEstimatePremiumCinemaReclinersCinemaSeat-ReclinerInternalMassDef
CS Audience Seating Area - Penitentiary,230,196,120,CS Audience Seating Area - Penitentiary_2021WABuilding Code,CS Audience Seating Area - Penitentiary_2021WABuilding CodeScheduleSet,0.538195753,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Correctional facilities_Booking_waitingCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Audience Seating Area - PenitentiaryActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Correctional facilities_Booking_waitingVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - PenitentiaryElectricalEquipDef,NECB-C-Electric-Equipment,7.21188,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a penitentiaryLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Penitentiary - audienceInfil,Always On,0,1.38,0,MediumSmooth,0.05,27.624,436,580,0.9,0.7,0.7,InstitutionalSeat-HeavyDuty,CalculatedEstimateHeavyDutyMetalSeatingInstitutionalSeat-HeavyDutyInternalMassDef
CS Audience Seating Area - Performing Arts Theater,230,196,120,CS Audience Seating Area - Performing Arts Theater_2021WABuilding Code,CS Audience Seating Area - Performing Arts Theater_2021WABuilding CodeScheduleSet,1.614587258,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Audience Seating Area - Performing Arts TheaterActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Performing Arts TheaterElectricalEquipDef,NECB-C-Electric-Equipment,12.48624,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a performing arts theaterLightingDef,NECB-C-Lighting,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeSecondarySchool_AuditoriumInfil,SchoolSecondary INFIL_SCH_PNNL,0,1.85,0,MediumSmooth,0.05,0.297,331,1100,0.9,0.7,0.7,TheaterSeat-Premium,CalculatedEstimatePremiumUpholsteredTheaterSeatsTheaterSeat-PremiumInternalMassDef
CS Audience Seating Area - Religious Building,230,196,120,CS Audience Seating Area - Religious Building_2021WABuilding Code,CS Audience Seating Area - Religious Building_2021WABuilding CodeScheduleSet,1.614587258,117.2332943,97,120,0.6125,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsCOMNET-REV9PeopleDef,NECB-I-Occupancy,CS Audience Seating Area - Religious BuildingActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_AuditoriumsVent,7.892630426,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Religious BuildingElectricalEquipDef,NECB-I-Electric-Equipment,7.75008,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a religious buildingLightingDef,NECB-I-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Religious - audienceInfil,Always On,0,1.65,0,MediumSmooth,0.05,0.069,429,1240,0.9,0.7,0.7,Pew-Wood,CalculatedEstimateWoodPewsWithCushionsPew-WoodInternalMassDef
CS Audience Seating Area - Sports Arena,230,196,120,CS Audience Seating Area - Sports Arena_2021WABuilding Code,CS Audience Seating Area - Sports Arena_2021WABuilding CodeScheduleSet,1.614587258,102.5791325,97,120,0.7,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Audience Seating Area - Sports ArenaActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement_Spectator areasVent,8.017603941,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Sports ArenaElectricalEquipDef,NECB-B-Electric-Equipment,3.55212,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - In a sports arenaLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Sports arena - audienceInfil,Always On,0,1.47,0,MediumSmooth,0.05,2.965,189,1480,0.9,0.7,0.7,StadiumSeat-Plastic,CalculatedEstimateMoldedPlasticStadiumSeatsStadiumSeat-PlasticInternalMassDef
CS Audience Seating Area - Transportation Facility,230,196,120,CS Audience Seating Area - Transportation Facility_2021WABuilding Code,CS Audience Seating Area - Transportation Facility_2021WABuilding CodeScheduleSet,1.076391505,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Transportation_Transportation waitingCOMNET-REV9PeopleDef,NECB-H-Occupancy,CS Audience Seating Area - Transportation FacilityActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Transportation_Transportation waitingVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - Transportation FacilityElectricalEquipDef,NECB-H-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - OtherwiseLightingDef,NECB-H-Lighting,,,,,,,2.32E-05,PNNL-NECB 2012DOE_PrototypeSpace Function_Transp. seatingInfil,Always On,0,1.13,0,MediumSmooth,0.05,1.13,214,950,0.9,0.7,0.7,WaitingChair-Ganged,CalculatedEstimateGangedMetalFrameChairsWaitingChair-GangedInternalMassDef
CS Audience Seating Area - Other,230,196,120,CS Audience Seating Area - Other_2021WABuilding Code,CS Audience Seating Area - Other_2021WABuilding CodeScheduleSet,1.076391505,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education_Multiuse assemblyCOMNET-REV9BA School/UniversityPeopleDef,NECB-C-Occupancy,CS Audience Seating Area - OtherActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_Multiuse assemblyVent,8.047252432,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Audience Seating Area - OtherElectricalEquipDef,NECB-C-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Audience/seating area - Permanent - OtherwiseLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2013DOE_PrototypeSpace Function_Audience - auditoriumInfil,Always On,0,1.47,0,MediumSmooth,0.05,0.741,308,1020,0.9,0.7,0.7,GenericSeat-Standard,CalculatedEstimateGenericFixedSeatingGenericSeat-StandardInternalMassDef
CS Atrium - Less than or equal to 40 ft,255,255,0,CS Atrium - Less than or equal to 40 ft_2021WABuilding Code,CS Atrium - Less than or equal to 40 ft_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Corridors other than Group RVent,,,,,,,5.16672,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Atrium - 20 to 40 feet in heightLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2014DOE_PrototypeSpace Function_Atrium - H < 13mInfil,Always On,,0.31,0,MediumSmooth,0.085,2.56,904,1122,0.9,0.7,0.7,Atrium-40ft-Composite,CalculatedEstimateLightWoodTrussOrSteelBeam_MinimalAdditionalAtrium-40ft-CompositeInternalMassDef
